,Area (SQFT),Unit Price ($ PSF),Floor,Remaining Tenure,Is Freehold,walk_distance,Condo_Apartment,Landed,East Region,North East Region,North Region,West Region,Resale,Sub Sale
59958,1184.04,1826,12,97,0,405.0,1,0,0,0,0,0,0,0
59959,914.94,448,0,32,0,910.0,1,0,0,0,0,0,1,0
59960,1033.34,1239,10,0,1,2458.0,1,0,1,0,0,0,1,0
59961,398.27,1464,12,0,1,1089.0,1,0,0,0,0,0,1,0
59962,613.55,1340,12,98,0,1557.0,1,0,0,1,0,0,0,0
59963,1625.36,3308,33,87,0,374.0,1,0,0,0,0,0,1,0
59964,1237.86,1414,5,0,1,777.0,1,0,0,0,0,0,1,0
59965,1969.81,1421,16,0,1,716.0,1,0,0,0,0,0,1,0
59966,990.29,793,3,88,0,1168.0,1,0,0,0,1,0,1,0
59967,688.9,1332,3,97,0,1917.0,1,0,1,0,0,0,0,0
59968,828.83,1086,11,90,0,478.0,0,0,0,1,0,0,1,0
59969,1602.76,1685,0,0,1,1065.0,0,1,0,1,0,0,1,0
59970,473.62,1474,2,98,0,2135.0,1,0,0,1,0,0,0,0
59971,1065.64,1107,14,90,0,485.0,0,0,0,1,0,0,1,0
59972,430.56,1417,2,0,1,801.0,1,0,0,0,0,0,1,0
59973,1840.64,2057,37,91,0,402.0,1,0,0,0,0,0,0,0
59974,3896.57,1562,11,0,1,1454.0,1,0,0,0,0,0,1,0
59975,1991.34,1013,5,0,1,1390.0,1,0,0,1,0,0,1,0
59976,1280.92,1015,2,75,0,2142.0,1,0,1,0,0,0,1,0
59977,764.24,1681,17,97,0,1228.0,1,0,0,0,0,0,0,0
59978,635.08,1705,7,97,0,1228.0,1,0,0,0,0,0,0,0
59979,882.65,2153,5,0,1,556.0,1,0,0,0,0,0,1,0
59980,452.09,1239,12,94,0,333.0,1,0,0,1,0,0,0,1
59981,484.38,1557,6,98,0,1195.0,1,0,0,0,0,0,0,0
59982,505.91,1743,3,0,1,673.0,1,0,0,0,0,1,0,0
59983,1345.5,1078,3,77,0,377.0,1,0,0,0,0,0,1,0
59984,656.6,1127,1,90,0,2021.0,1,0,0,1,0,0,1,0
59985,925.7,1529,11,0,1,1280.0,1,0,0,0,0,0,1,0
59986,1797.59,868,1,77,0,2787.0,1,0,0,0,0,0,1,0
59987,1410.08,879,14,88,0,847.0,1,0,1,0,0,0,1,0
59988,3670.52,561,0,0,1,241.0,0,1,0,1,0,0,1,0
59989,656.6,1718,6,97,0,1228.0,1,0,0,0,0,0,0,0
59990,1528.49,955,15,88,0,1088.0,1,0,0,0,1,0,1,0
