Area (SQFT),Unit Price ($ PSF),Type of Sale,Property Type,Planning Region,Floor,Remaining Tenure,Is Freehold,walk_distance
990.29,1202,Resale,Condominium,Central Region,26,76,0,698.0
462.85,1361,Resale,Condominium,North East Region,6,90,0,415.0
1356.26,2743,New Sale,Condominium,Central Region,6,0,1,1389.0
818.06,2806,New Sale,Condominium,Central Region,9,0,1,893.0
656.6,685,Resale,Apartment,Central Region,0,0,1,949.0
1227.1,1139,Sub Sale,Apartment,North East Region,8,92,0,224.0
635.08,2017,New Sale,Apartment,Central Region,16,95,0,462.0
1054.87,1736,New Sale,Condominium,Central Region,20,96,0,541.0
1280.92,601,Resale,Executive Condominium,North Region,9,75,0,731.0
1259.39,770,Resale,Condominium,East Region,4,78,0,1058.0
893.41,1573,New Sale,Apartment,Central Region,5,96,0,783.0
376.74,1248,Resale,Apartment,Central Region,2,0,1,722.0
516.67,1357,New Sale,Apartment,North East Region,8,96,0,1557.0
818.06,2816,New Sale,Condominium,Central Region,10,0,1,893.0
871.88,1376,Resale,Apartment,Central Region,22,83,0,352.0
775.01,1068,Resale,Condominium,East Region,3,90,0,1507.0
1517.72,1766,Resale,Condominium,Central Region,11,0,1,2103.0
538.2,2878,New Sale,Condominium,Central Region,8,0,1,823.0
764.24,1752,New Sale,Condominium,Central Region,16,96,0,486.0
1334.74,1021,Resale,Condominium,West Region,24,79,0,372.0
1227.1,978,Resale,Condominium,North East Region,17,80,0,850.0
3035.45,609,Resale,Terrace House,East Region,0,73,0,941.0
1711.48,1624,New Sale,Apartment,West Region,23,97,0,1193.0
818.06,2806,New Sale,Condominium,Central Region,8,0,1,893.0
538.2,2808,New Sale,Condominium,Central Region,6,0,1,966.0
1603.84,2378,New Sale,Condominium,Central Region,12,0,1,966.0
1356.26,2530,New Sale,Condominium,Central Region,2,0,1,966.0
613.55,2782,New Sale,Condominium,Central Region,5,0,1,823.0
1280.92,867,Resale,Condominium,West Region,7,79,0,753.0
1334.74,1611,Resale,Condominium,Central Region,5,0,1,445.0
613.55,2795,New Sale,Condominium,Central Region,6,0,1,823.0
1140.98,868,Resale,Condominium,North East Region,4,90,0,673.0
1044.11,2745,New Sale,Condominium,Central Region,5,0,1,920.0
3336.84,713,New Sale,Terrace House,North Region,0,0,1,2954.0
807.3,991,Resale,Executive Condominium,East Region,12,89,0,1499.0
710.42,2750,New Sale,Condominium,Central Region,9,0,1,823.0
678.13,2894,New Sale,Condominium,Central Region,4,96,0,475.0
2814.79,1165,Resale,Semi-Detached House,North East Region,0,0,1,2337.0
925.7,1404,Resale,Condominium,Central Region,19,70,0,332.0
1399.32,1930,Resale,Condominium,Central Region,2,85,0,750.0
818.06,2826,New Sale,Condominium,Central Region,11,0,1,893.0
3778.16,572,Resale,Terrace House,Central Region,0,74,0,1537.0
1151.75,1014,Resale,Condominium,East Region,5,88,0,1192.0
1420.85,1603,New Sale,Condominium,Central Region,3,96,0,541.0
1313.21,1173,Resale,Condominium,East Region,9,86,0,577.0
1582.31,1738,Resale,Condominium,Central Region,4,0,1,645.0
462.85,1253,Resale,Apartment,Central Region,5,0,1,730.0
1044.11,2546,New Sale,Condominium,Central Region,2,0,1,966.0
527.44,1545,Resale,Condominium,Central Region,5,0,1,767.0
1410.08,667,Resale,Executive Condominium,West Region,13,75,0,490.0
710.42,2655,New Sale,Condominium,Central Region,3,0,1,893.0
1291.68,1564,New Sale,Apartment,West Region,7,97,0,1352.0
1377.79,856,Resale,Condominium,West Region,1,74,0,1674.0
1130.22,1044,Resale,Condominium,North East Region,15,88,0,256.0
462.85,1102,Resale,Condominium,East Region,2,90,0,2066.0
796.54,1343,Resale,Apartment,Central Region,3,0,1,564.0
818.06,960,Resale,Apartment,Central Region,7,0,1,908.0
958.0,1628,New Sale,Apartment,Central Region,12,96,0,297.0
1280.92,1054,Resale,Condominium,West Region,9,0,1,936.0
527.44,1517,Resale,Condominium,Central Region,3,0,1,767.0
645.84,2666,New Sale,Apartment,Central Region,31,0,1,740.0
15871.52,762,Resale,Detached House,North East Region,0,0,1,807.0
645.84,2555,New Sale,Apartment,Central Region,16,0,1,740.0
2884.75,1109,Resale,Apartment,Central Region,10,0,1,935.0
